"Step","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward__MIN","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward__MAX"
"0","-88.03999999999994","-88.03999999999994","-88.03999999999994"
"1","-86.17999999999994","-86.17999999999994","-86.17999999999994"
"2","-85.25399999999995","-85.25399999999995","-85.25399999999995"
"3","-87.94199999999995","-87.94199999999995","-87.94199999999995"
"4","-89.89899999999997","-89.89899999999997","-89.89899999999997"
"5","-91.181","-91.181","-91.181"
"6","-92.51500000000001","-92.51500000000001","-92.51500000000001"
"7","-93.531","-93.531","-93.531"
"8","-91.43","-91.43","-91.43"
"9","-90.24600000000002","-90.24600000000002","-90.24600000000002"
"10","-89.76800000000001","-89.76800000000001","-89.76800000000001"
"11","-90.00399999999998","-90.00399999999998","-90.00399999999998"
"12","-89.83200000000001","-89.83200000000001","-89.83200000000001"
"13","-89.65299999999999","-89.65299999999999","-89.65299999999999"
"14","-89.77199999999999","-89.77199999999999","-89.77199999999999"
"15","-89.59599999999999","-89.59599999999999","-89.59599999999999"
"16","-88.61699999999999","-88.61699999999999","-88.61699999999999"
"17","-88.14399999999998","-88.14399999999998","-88.14399999999998"
"18","-88.06","-88.06","-88.06"
"19","-87.79599999999996","-87.79599999999996","-87.79599999999996"
"20","-86.603","-86.603","-86.603"
"21","-87.48999999999997","-87.48999999999997","-87.48999999999997"
"22","-88.03299999999997","-88.03299999999997","-88.03299999999997"
"23","-88.42199999999995","-88.42199999999995","-88.42199999999995"
"24","-88.44599999999997","-88.44599999999997","-88.44599999999997"
"25","-88.05699999999999","-88.05699999999999","-88.05699999999999"
"26","-86.17799999999997","-86.17799999999997","-86.17799999999997"
"27","-85.04499999999996","-85.04499999999996","-85.04499999999996"
"28","-83.33699999999997","-83.33699999999997","-83.33699999999997"
"29","-81.88199999999998","-81.88199999999998","-81.88199999999998"
"30","-81.69099999999996","-81.69099999999996","-81.69099999999996"
"31","-81.38999999999996","-81.38999999999996","-81.38999999999996"
