"Step","3x3HighIn_simple_3by3_oldarrival_run_arrival_change_201_007_transformer_2025-06-09_09-54-32 - reward","3x3HighIn_simple_3by3_oldarrival_run_arrival_change_201_007_transformer_2025-06-09_09-54-32 - reward__MIN","3x3HighIn_simple_3by3_oldarrival_run_arrival_change_201_007_transformer_2025-06-09_09-54-32 - reward__MAX"
"0","-153.36999999999998","-153.36999999999998","-153.36999999999998"
"1","-147.21499999999997","-147.21499999999997","-147.21499999999997"
"2","-139.49299999999997","-139.49299999999997","-139.49299999999997"
"3","-128.38899999999998","-128.38899999999998","-128.38899999999998"
"4","-122.915","-122.915","-122.915"
"5","-111.50899999999997","-111.50899999999997","-111.50899999999997"
"6","-102.665","-102.665","-102.665"
"7","-97.13099999999999","-97.13099999999999","-97.13099999999999"
"8","-94.075","-94.075","-94.075"
"9","-92.998","-92.998","-92.998"
"10","-92.52000000000002","-92.52000000000002","-92.52000000000002"
"11","-92.91500000000002","-92.91500000000002","-92.91500000000002"
"12","-92.975","-92.975","-92.975"
"13","-92.477","-92.477","-92.477"
"14","-91.99799999999999","-91.99799999999999","-91.99799999999999"
"15","-91.127","-91.127","-91.127"
"16","-89.92099999999999","-89.92099999999999","-89.92099999999999"
"17","-87.885","-87.885","-87.885"
"18","-86.876","-86.876","-86.876"
"19","-85.793","-85.793","-85.793"
"20","-85.139","-85.139","-85.139"
"21","-85.012","-85.012","-85.012"
"22","-85.146","-85.146","-85.146"
"23","-85.131","-85.131","-85.131"
"24","-85.589","-85.589","-85.589"
"25","-85.934","-85.934","-85.934"
"26","-90.193","-90.193","-90.193"
"27","-95.63499999999996","-95.63499999999996","-95.63499999999996"
"28","-99.39099999999995","-99.39099999999995","-99.39099999999995"
"29","-103.02099999999993","-103.02099999999993","-103.02099999999993"
"30","-106.12199999999993","-106.12199999999993","-106.12199999999993"
"31","-104.80199999999992","-104.80199999999992","-104.80199999999992"
"32","-103.46599999999994","-103.46599999999994","-103.46599999999994"
"33","-101.91499999999992","-101.91499999999992","-101.91499999999992"
"34","-99.62899999999995","-99.62899999999995","-99.62899999999995"
"35","-96.45699999999995","-96.45699999999995","-96.45699999999995"
"36","-93.94699999999999","-93.94699999999999","-93.94699999999999"
"37","-91.15399999999998","-91.15399999999998","-91.15399999999998"
"38","-88.76299999999999","-88.76299999999999","-88.76299999999999"
"39","-87.23499999999999","-87.23499999999999","-87.23499999999999"
"40","-86.17399999999999","-86.17399999999999","-86.17399999999999"
"41","-83.35299999999998","-83.35299999999998","-83.35299999999998"
"42","-80.587","-80.587","-80.587"
"43","-79.817","-79.817","-79.817"
"44","-78.805","-78.805","-78.805"
"45","-77.83100000000002","-77.83100000000002","-77.83100000000002"
"46","-81.21600000000001","-81.21600000000001","-81.21600000000001"
"47","-82.62","-82.62","-82.62"
"48","-82.23199999999999","-82.23199999999999","-82.23199999999999"
"49","-80.744","-80.744","-80.744"
"50","-78.788","-78.788","-78.788"
"51","-75.979","-75.979","-75.979"
"52","-74.212","-74.212","-74.212"
"53","-73.15299999999999","-73.15299999999999","-73.15299999999999"
"54","-72.601","-72.601","-72.601"
"55","-76.07","-76.07","-76.07"
"56","-76.85999999999999","-76.85999999999999","-76.85999999999999"
"57","-78.00899999999999","-78.00899999999999","-78.00899999999999"
"58","-79.89999999999998","-79.89999999999998","-79.89999999999998"
"59","-82.60699999999997","-82.60699999999997","-82.60699999999997"
"60","-85.987","-85.987","-85.987"
"61","-88.05299999999997","-88.05299999999997","-88.05299999999997"
"62","-89.60999999999999","-89.60999999999999","-89.60999999999999"
"63","-88.48099999999998","-88.48099999999998","-88.48099999999998"
"64","-87.588","-87.588","-87.588"
"65","-82.59199999999998","-82.59199999999998","-82.59199999999998"
"66","-81.27","-81.27","-81.27"
"67","-80.286","-80.286","-80.286"
"68","-80.38099999999999","-80.38099999999999","-80.38099999999999"
"69","-82.522","-82.522","-82.522"
"70","-85.874","-85.874","-85.874"
"71","-86.41400000000002","-86.41400000000002","-86.41400000000002"
"72","-86.60199999999998","-86.60199999999998","-86.60199999999998"
"73","-85.65","-85.65","-85.65"
"74","-80.06599999999999","-80.06599999999999","-80.06599999999999"
"75","-75.38999999999999","-75.38999999999999","-75.38999999999999"
"76","-71.99499999999999","-71.99499999999999","-71.99499999999999"
"77","-70.68199999999999","-70.68199999999999","-70.68199999999999"
"78","-71.90599999999998","-71.90599999999998","-71.90599999999998"
"79","-72.981","-72.981","-72.981"
"80","-69.609","-69.609","-69.609"
"81","-68.634","-68.634","-68.634"
"82","-67.738","-67.738","-67.738"
"83","-64.043","-64.043","-64.043"
"84","-61.39200000000001","-61.39200000000001","-61.39200000000001"
"85","-67.727","-67.727","-67.727"
"86","-71.693","-71.693","-71.693"
"87","-75.35799999999999","-75.35799999999999","-75.35799999999999"
"88","-79.12100000000001","-79.12100000000001","-79.12100000000001"
"89","-80.86099999999999","-80.86099999999999","-80.86099999999999"
"90","-79.273","-79.273","-79.273"
"91","-75.37599999999999","-75.37599999999999","-75.37599999999999"
"92","-72.85","-72.85","-72.85"
"93","-68.97600000000003","-68.97600000000003","-68.97600000000003"
"94","-66.012","-66.012","-66.012"
"95","-65.27300000000001","-65.27300000000001","-65.27300000000001"
"96","-64.652","-64.652","-64.652"
"97","-62.85900000000001","-62.85900000000001","-62.85900000000001"
"98","-63.336999999999996","-63.336999999999996","-63.336999999999996"
"99","-62.544","-62.544","-62.544"
"100","-57.39400000000001","-57.39400000000001","-57.39400000000001"
"101","-53.399000000000015","-53.399000000000015","-53.399000000000015"
"102","-49.96300000000001","-49.96300000000001","-49.96300000000001"
"103","-44.391000000000034","-44.391000000000034","-44.391000000000034"
"104","-41.582000000000015","-41.582000000000015","-41.582000000000015"
"105","-40.52100000000002","-40.52100000000002","-40.52100000000002"
"106","-35.93100000000002","-35.93100000000002","-35.93100000000002"
"107","-32.935000000000024","-32.935000000000024","-32.935000000000024"
"108","-30.89500000000001","-30.89500000000001","-30.89500000000001"
"109","-26.045000000000012","-26.045000000000012","-26.045000000000012"
"110","-18.552999999999997","-18.552999999999997","-18.552999999999997"
"111","-12.526","-12.526","-12.526"
"112","-5.138999999999995","-5.138999999999995","-5.138999999999995"
"113","-0.07999999999999367","-0.07999999999999367","-0.07999999999999367"
"114","3.1670000000000083","3.1670000000000083","3.1670000000000083"
"115","5.149000000000008","5.149000000000008","5.149000000000008"
"116","2.9520000000000057","2.9520000000000057","2.9520000000000057"
"117","5.4250000000000025","5.4250000000000025","5.4250000000000025"
"118","8.212","8.212","8.212"
"119","11.417999999999992","11.417999999999992","11.417999999999992"
"120","14.734999999999987","14.734999999999987","14.734999999999987"
"121","9.96899999999998","9.96899999999998","9.96899999999998"
"122","7.791999999999986","7.791999999999986","7.791999999999986"
"123","7.236999999999986","7.236999999999986","7.236999999999986"
"124","3.814999999999995","3.814999999999995","3.814999999999995"
"125","0.7000000000000004","0.7000000000000004","0.7000000000000004"
"126","7.313000000000006","7.313000000000006","7.313000000000006"
"127","8.792000000000003","8.792000000000003","8.792000000000003"
"128","7.249000000000007","7.249000000000007","7.249000000000007"
"129","10.427999999999997","10.427999999999997","10.427999999999997"
"130","14.17699999999999","14.17699999999999","14.17699999999999"
"131","16.15499999999999","16.15499999999999","16.15499999999999"
"132","18.892999999999983","18.892999999999983","18.892999999999983"
"133","22.669999999999973","22.669999999999973","22.669999999999973"
"134","21.037999999999975","21.037999999999975","21.037999999999975"
"135","15.74299999999998","15.74299999999998","15.74299999999998"
"136","12.895999999999992","12.895999999999992","12.895999999999992"
"137","9.917999999999994","9.917999999999994","9.917999999999994"
"138","9.237999999999994","9.237999999999994","9.237999999999994"
"139","11.518999999999997","11.518999999999997","11.518999999999997"
"140","8.06899999999999","8.06899999999999","8.06899999999999"
"141","10.679999999999984","10.679999999999984","10.679999999999984"
"142","14.277999999999974","14.277999999999974","14.277999999999974"
"143","14.84499999999998","14.84499999999998","14.84499999999998"
"144","17.704999999999973","17.704999999999973","17.704999999999973"
"145","24.367999999999967","24.367999999999967","24.367999999999967"
"146","24.37799999999997","24.37799999999997","24.37799999999997"
"147","23.999999999999968","23.999999999999968","23.999999999999968"
"148","20.543999999999972","20.543999999999972","20.543999999999972"
"149","19.83299999999998","19.83299999999998","19.83299999999998"
"150","20.68599999999997","20.68599999999997","20.68599999999997"
"151","20.202999999999978","20.202999999999978","20.202999999999978"
"152","20.406999999999975","20.406999999999975","20.406999999999975"
"153","23.325999999999976","23.325999999999976","23.325999999999976"
"154","20.64899999999998","20.64899999999998","20.64899999999998"
"155","18.985999999999986","18.985999999999986","18.985999999999986"
"156","20.29299999999998","20.29299999999998","20.29299999999998"
"157","16.70499999999999","16.70499999999999","16.70499999999999"
"158","18.464999999999986","18.464999999999986","18.464999999999986"
"159","22.530999999999967","22.530999999999967","22.530999999999967"
"160","25.331999999999958","25.331999999999958","25.331999999999958"
"161","26.902999999999956","26.902999999999956","26.902999999999956"
"162","31.532999999999944","31.532999999999944","31.532999999999944"
"163","31.305999999999944","31.305999999999944","31.305999999999944"
"164","28.38199999999996","28.38199999999996","28.38199999999996"
"165","26.910999999999962","26.910999999999962","26.910999999999962"
"166","25.71499999999996","25.71499999999996","25.71499999999996"
"167","23.489999999999963","23.489999999999963","23.489999999999963"
"168","22.160999999999966","22.160999999999966","22.160999999999966"
"169","23.27999999999997","23.27999999999997","23.27999999999997"
"170","25.276999999999965","25.276999999999965","25.276999999999965"
"171","26.438999999999954","26.438999999999954","26.438999999999954"
"172","29.25099999999996","29.25099999999996","29.25099999999996"
"173","32.568999999999946","32.568999999999946","32.568999999999946"
"174","33.99799999999994","33.99799999999994","33.99799999999994"
"175","31.546999999999947","31.546999999999947","31.546999999999947"
"176","31.39899999999995","31.39899999999995","31.39899999999995"
"177","31.089999999999947","31.089999999999947","31.089999999999947"
"178","29.706999999999947","29.706999999999947","29.706999999999947"
"179","27.90799999999995","27.90799999999995","27.90799999999995"
"180","30.97499999999995","30.97499999999995","30.97499999999995"
"181","30.616999999999948","30.616999999999948","30.616999999999948"
"182","29.702999999999953","29.702999999999953","29.702999999999953"
"183","31.295999999999946","31.295999999999946","31.295999999999946"
"184","34.85499999999993","34.85499999999993","34.85499999999993"
"185","35.87499999999993","35.87499999999993","35.87499999999993"
"186","23.246999999999954","23.246999999999954","23.246999999999954"
"187","14.712999999999948","14.712999999999948","14.712999999999948"
