"Step","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_12-29-08 - reward","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_12-29-08 - reward__MIN","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_12-29-08 - reward__MAX"
"0","-587.2099999999999","-587.2099999999999","-587.2099999999999"
"1","-531.7983333333334","-531.7983333333334","-531.7983333333334"
"2","-451.725","-451.725","-451.725"
"3","-331.71399999999994","-331.71399999999994","-331.71399999999994"
"4","-296.201","-296.201","-296.201"
"5","-202.891","-202.891","-202.891"
"6","-138.293","-138.293","-138.293"
"7","-110.53699999999999","-110.53699999999999","-110.53699999999999"
"8","-103.346","-103.346","-103.346"
"9","-100.94999999999999","-100.94999999999999","-100.94999999999999"
"10","-99.71799999999998","-99.71799999999998","-99.71799999999998"
"11","-98.98800000000001","-98.98800000000001","-98.98800000000001"
"12","-98.14","-98.14","-98.14"
"13","-97.868","-97.868","-97.868"
"14","-97.83999999999997","-97.83999999999997","-97.83999999999997"
"15","-97.90599999999999","-97.90599999999999","-97.90599999999999"
"16","-97.39599999999999","-97.39599999999999","-97.39599999999999"
"17","-98.92299999999999","-98.92299999999999","-98.92299999999999"
"18","-98.98099999999998","-98.98099999999998","-98.98099999999998"
"19","-107.24499999999998","-107.24499999999998","-107.24499999999998"
"20","-109.02799999999999","-109.02799999999999","-109.02799999999999"
"21","-110.15799999999999","-110.15799999999999","-110.15799999999999"
"22","-108.572","-108.572","-108.572"
"23","-106.95800000000001","-106.95800000000001","-106.95800000000001"
"24","-97.96299999999998","-97.96299999999998","-97.96299999999998"
"25","-96.822","-96.822","-96.822"
"26","-95.913","-95.913","-95.913"
"27","-95.59399999999998","-95.59399999999998","-95.59399999999998"
"28","-95.27600000000001","-95.27600000000001","-95.27600000000001"
"29","-95.212","-95.212","-95.212"
"30","-94.45","-94.45","-94.45"
"31","-93.76","-93.76","-93.76"
"32","-100.57699999999998","-100.57699999999998","-100.57699999999998"
"33","-103.26700000000002","-103.26700000000002","-103.26700000000002"
"34","-103.98800000000001","-103.98800000000001","-103.98800000000001"
"35","-104.19499999999998","-104.19499999999998","-104.19499999999998"
"36","-103.72500000000004","-103.72500000000004","-103.72500000000004"
"37","-107.71699999999998","-107.71699999999998","-107.71699999999998"
"38","-108.52600000000001","-108.52600000000001","-108.52600000000001"
"39","-108.715","-108.715","-108.715"
"40","-108.70800000000001","-108.70800000000001","-108.70800000000001"
"41","-124.93000000000002","-124.93000000000002","-124.93000000000002"
"42","-119.43099999999998","-119.43099999999998","-119.43099999999998"
"43","-117.552","-117.552","-117.552"
"44","-117.648","-117.648","-117.648"
"45","-115.565","-115.565","-115.565"
"46","-99.59900000000002","-99.59900000000002","-99.59900000000002"
"47","-94.829","-94.829","-94.829"
"48","-93.55499999999998","-93.55499999999998","-93.55499999999998"
"49","-92.546","-92.546","-92.546"
"50","-92.023","-92.023","-92.023"
"51","-91.66300000000001","-91.66300000000001","-91.66300000000001"
"52","-91.44300000000001","-91.44300000000001","-91.44300000000001"
"53","-91.60600000000001","-91.60600000000001","-91.60600000000001"
"54","-92.15099999999998","-92.15099999999998","-92.15099999999998"
"55","-92.589","-92.589","-92.589"
"56","-92.87100000000001","-92.87100000000001","-92.87100000000001"
"57","-92.959","-92.959","-92.959"
"58","-92.77300000000001","-92.77300000000001","-92.77300000000001"
"59","-92.41500000000002","-92.41500000000002","-92.41500000000002"
"60","-92.13","-92.13","-92.13"
"61","-107.82900000000004","-107.82900000000004","-107.82900000000004"
"62","-112.163","-112.163","-112.163"
"63","-113.36499999999998","-113.36499999999998","-113.36499999999998"
"64","-114.27600000000001","-114.27600000000001","-114.27600000000001"
"65","-113.49799999999999","-113.49799999999999","-113.49799999999999"
"66","-98.62199999999999","-98.62199999999999","-98.62199999999999"
"67","-95.073","-95.073","-95.073"
"68","-93.80699999999999","-93.80699999999999","-93.80699999999999"
"69","-93.14499999999998","-93.14499999999998","-93.14499999999998"
"70","-92.99600000000002","-92.99600000000002","-92.99600000000002"
"71","-93.28699999999999","-93.28699999999999","-93.28699999999999"
"72","-93.17499999999998","-93.17499999999998","-93.17499999999998"
"73","-93.25499999999998","-93.25499999999998","-93.25499999999998"
"74","-92.83","-92.83","-92.83"
"75","-92.70200000000001","-92.70200000000001","-92.70200000000001"
"76","-92.58","-92.58","-92.58"
"77","-93.242","-93.242","-93.242"
"78","-93.90799999999999","-93.90799999999999","-93.90799999999999"
"79","-94.87499999999999","-94.87499999999999","-94.87499999999999"
"80","-95.642","-95.642","-95.642"
"81","-96.00800000000001","-96.00800000000001","-96.00800000000001"
"82","-95.63999999999999","-95.63999999999999","-95.63999999999999"
"83","-95.17","-95.17","-95.17"
"84","-94.45700000000002","-94.45700000000002","-94.45700000000002"
"85","-93.56500000000001","-93.56500000000001","-93.56500000000001"
"86","-93.35800000000003","-93.35800000000003","-93.35800000000003"
"87","-92.96200000000003","-92.96200000000003","-92.96200000000003"
"88","-92.71500000000002","-92.71500000000002","-92.71500000000002"
"89","-93.32600000000001","-93.32600000000001","-93.32600000000001"
"90","-94.01800000000001","-94.01800000000001","-94.01800000000001"
"91","-94.764","-94.764","-94.764"
"92","-95.86900000000001","-95.86900000000001","-95.86900000000001"
"93","-96.08200000000001","-96.08200000000001","-96.08200000000001"
"94","-95.94300000000003","-95.94300000000003","-95.94300000000003"
"95","-97.36200000000001","-97.36200000000001","-97.36200000000001"
"96","-97.208","-97.208","-97.208"
"97","-96.875","-96.875","-96.875"
"98","-97.17999999999998","-97.17999999999998","-97.17999999999998"
"99","-97.125","-97.125","-97.125"
"100","-95.67099999999999","-95.67099999999999","-95.67099999999999"
"101","-95.551","-95.551","-95.551"
"102","-95.35400000000001","-95.35400000000001","-95.35400000000001"
"103","-95.307","-95.307","-95.307"
"104","-95.315","-95.315","-95.315"
"105","-95.5","-95.5","-95.5"
"106","-95.559","-95.559","-95.559"
"107","-95.71800000000002","-95.71800000000002","-95.71800000000002"
"108","-95.634","-95.634","-95.634"
"109","-95.406","-95.406","-95.406"
"110","-95.181","-95.181","-95.181"
"111","-95.41799999999999","-95.41799999999999","-95.41799999999999"
"112","-95.58300000000001","-95.58300000000001","-95.58300000000001"
"113","-95.96599999999998","-95.96599999999998","-95.96599999999998"
"114","-96.4","-96.4","-96.4"
"115","-96.92","-96.92","-96.92"
"116","-97.29","-97.29","-97.29"
"117","-97.213","-97.213","-97.213"
"118","-97.39500000000002","-97.39500000000002","-97.39500000000002"
"119","-97.60799999999999","-97.60799999999999","-97.60799999999999"
"120","-97.72600000000003","-97.72600000000003","-97.72600000000003"
"121","-97.54699999999998","-97.54699999999998","-97.54699999999998"
"122","-98.025","-98.025","-98.025"
"123","-98.14000000000001","-98.14000000000001","-98.14000000000001"
"124","-98.20000000000002","-98.20000000000002","-98.20000000000002"
"125","-97.926","-97.926","-97.926"
"126","-97.26899999999999","-97.26899999999999","-97.26899999999999"
"127","-96.358","-96.358","-96.358"
"128","-95.396","-95.396","-95.396"
"129","-94.72200000000004","-94.72200000000004","-94.72200000000004"
"130","-94.465","-94.465","-94.465"
"131","-94.86399999999999","-94.86399999999999","-94.86399999999999"
"132","-95.07599999999998","-95.07599999999998","-95.07599999999998"
"133","-95.57700000000003","-95.57700000000003","-95.57700000000003"
"134","-95.67000000000003","-95.67000000000003","-95.67000000000003"
"135","-95.20500000000001","-95.20500000000001","-95.20500000000001"
"136","-94.589","-94.589","-94.589"
"137","-95.18400000000001","-95.18400000000001","-95.18400000000001"
"138","-95.64799999999997","-95.64799999999997","-95.64799999999997"
"139","-96.53199999999998","-96.53199999999998","-96.53199999999998"
"140","-97.66700000000003","-97.66700000000003","-97.66700000000003"
"141","-98.44200000000001","-98.44200000000001","-98.44200000000001"
"142","-98.06500000000001","-98.06500000000001","-98.06500000000001"
"143","-97.82","-97.82","-97.82"
"144","-97.42300000000002","-97.42300000000002","-97.42300000000002"
"145","-96.757","-96.757","-96.757"
"146","-96.83300000000001","-96.83300000000001","-96.83300000000001"
"147","-96.31700000000001","-96.31700000000001","-96.31700000000001"
"148","-95.59200000000003","-95.59200000000003","-95.59200000000003"
"149","-95.23200000000001","-95.23200000000001","-95.23200000000001"
"150","-95.15100000000001","-95.15100000000001","-95.15100000000001"
"151","-94.73299999999999","-94.73299999999999","-94.73299999999999"
"152","-94.59000000000002","-94.59000000000002","-94.59000000000002"
"153","-96.65299999999999","-96.65299999999999","-96.65299999999999"
"154","-96.60599999999998","-96.60599999999998","-96.60599999999998"
"155","-96.42","-96.42","-96.42"
"156","-96.137","-96.137","-96.137"
"157","-95.655","-95.655","-95.655"
